21.32,6.80,-0.02,2,Sensor1
29.49,-4.40,-0.24,3,Sensor1
12.28,18.88,0.93,4,Sensor1
12.25,-3.49,0.52,5,Sensor3
18.45,23.78,-0.07,6,Sensor3
1.14,6.75,-0.29,7,Sensor1
4.92,7.61,0.31,8,Sensor2
-2.02,22.16,0.39,9,Sensor3
8.22,11.49,-0.48,10,Sensor1
17.99,24.23,0.27,11,Sensor3
-0.54,3.96,0.03,12,Sensor2
24.70,17.45,-0.77,13,Sensor3
9.27,5.37,-0.87,14,Sensor3
4.65,15.66,-0.48,15,Sensor2
21.21,-4.17,-0.63,16,Sensor3
-0.15,10.91,-0.67,17,Sensor2
14.52,0.41,-0.25,18,Sensor1
29.73,16.10,-0.56,19,Sensor3
24.52,-2.60,-0.35,20,Sensor3
10.86,-0.50,-0.27,21,Sensor3
7.77,18.08,0.15,22,Sensor3
7.06,10.67,-0.88,23,Sensor2
12.71,12.07,0.68,24,Sensor1
20.72,4.89,0.55,25,Sensor1
-3.90,10.14,0.13,26,Sensor2
-9.73,-3.08,-0.75,27,Sensor1
-6.21,21.14,0.41,28,Sensor2
-5.79,11.61,0.84,29,Sensor1
-9.79,2.55,0.31,30,Sensor2
13.76,1.13,0.48,31,Sensor1
24.18,2.63,0.85,32,Sensor3
15.84,12.64,0.18,33,Sensor1
-9.62,7.08,-0.41,34,Sensor1
-3.93,-0.37,0.66,35,Sensor1
-1.61,1.82,-0.70,36,Sensor3
17.58,4.37,-0.31,37,Sensor3
18.31,24.57,0.81,38,Sensor2
-7.29,-4.66,-0.42,39,Sensor3
20.57,14.14,-0.99,40,Sensor2
0.60,4.24,-0.74,41,Sensor3
4.94,2.34,0.99,42,Sensor2
-5.80,-4.90,-0.06,43,Sensor2
6.81,15.18,-0.58,44,Sensor1
20.87,24.88,0.14,45,Sensor1
24.26,5.00,0.65,46,Sensor1
14.52,7.35,0.12,47,Sensor1
-4.52,-1.80,-0.11,48,Sensor1
16.87,1.12,0.66,49,Sensor1
20.98,0.65,0.61,50,Sensor1
10.42,-2.54,0.28,51,Sensor2
17.03,7.65,-0.03,52,Sensor3
-4.54,15.10,-0.70,53,Sensor1
12.63,14.71,0.73,54,Sensor3
-2.92,14.63,0.33,55,Sensor2
2.73,6.04,-0.08,56,Sensor2
6.89,10.69,-0.85,57,Sensor3
0.10,15.70,-0.46,58,Sensor1
14.40,0.88,-0.56,59,Sensor2
9.52,19.41,0.40,60,Sensor3
5.32,11.81,0.19,61,Sensor1
11.67,0.06,0.57,62,Sensor3
15.28,-3.52,0.12,63,Sensor1
17.42,-4.22,-0.23,64,Sensor3
28.21,24.37,0.81,65,Sensor2
6.01,12.42,0.33,66,Sensor2
24.09,-1.92,-0.25,67,Sensor1
3.01,16.25,0.85,68,Sensor2
20.52,-1.28,-0.60,69,Sensor1
3.76,-1.29,0.23,70,Sensor3
-1.67,8.81,-0.32,71,Sensor2
-5.13,8.53,0.43,72,Sensor1
19.00,22.74,-0.04,73,Sensor2
-3.57,5.53,-0.74,74,Sensor3
-6.79,16.74,0.81,75,Sensor1
9.44,2.61,0.25,76,Sensor2
9.29,19.19,0.70,77,Sensor3
3.49,19.36,-0.03,78,Sensor2
5.81,13.79,0.83,79,Sensor2
18.13,4.57,0.59,80,Sensor2
-4.98,14.39,-0.62,81,Sensor3
2.33,21.72,-0.71,82,Sensor3
15.71,23.00,-0.87,83,Sensor1
12.48,23.80,0.98,84,Sensor1
-0.14,8.73,-0.38,85,Sensor2
27.30,0.56,-0.82,86,Sensor1
-2.75,18.25,-0.45,87,Sensor1
3.34,21.80,0.11,88,Sensor1
10.32,21.85,0.31,89,Sensor2
2.38,6.85,-0.38,90,Sensor2
-9.28,19.09,-0.06,91,Sensor2
25.09,12.21,0.10,92,Sensor1
27.47,21.80,-0.67,93,Sensor3
20.10,3.28,-0.04,94,Sensor2
24.71,11.80,-0.07,95,Sensor1
19.84,14.44,0.39,96,Sensor2
-9.21,5.58,-0.58,97,Sensor2
11.23,6.57,0.18,98,Sensor2
11.66,17.07,-0.80,99,Sensor1
13.65,5.70,0.50,100,Sensor1
14.81,6.97,0.57,101,Sensor1
15.82,17.94,0.42,102,Sensor1
25.90,7.74,0.59,103,Sensor1
2.37,4.11,-0.99,104,Sensor3
21.68,13.06,0.19,105,Sensor2
13.06,14.85,0.71,106,Sensor2
-8.39,22.36,-0.34,107,Sensor2
15.16,15.61,0.11,108,Sensor2
-2.02,7.92,-0.91,109,Sensor1
15.80,-4.66,0.99,110,Sensor1
-1.35,-4.27,-0.28,111,Sensor2
3.41,-4.93,0.62,112,Sensor1
-4.58,5.55,0.05,113,Sensor1
15.33,17.44,0.08,114,Sensor1
7.83,16.01,-0.42,115,Sensor2
21.10,-4.53,0.55,116,Sensor2
-0.16,20.28,-0.12,117,Sensor2
4.25,5.78,0.23,118,Sensor3
-9.83,14.00,0.09,119,Sensor1
7.44,1.48,-0.83,120,Sensor1
1.80,22.53,-0.42,121,Sensor3
-0.58,10.34,-0.65,122,Sensor2
8.13,5.80,-0.83,123,Sensor2
29.74,21.45,0.95,124,Sensor1
16.62,3.68,0.91,125,Sensor2
1.73,8.01,0.26,126,Sensor3
5.94,23.61,-0.41,127,Sensor1
-5.84,5.82,-0.32,128,Sensor1
-4.42,3.78,0.10,129,Sensor1
-3.20,4.74,0.25,130,Sensor1
-4.68,10.16,0.67,131,Sensor1
3.75,2.47,-0.43,132,Sensor1
2.10,13.96,0.55,133,Sensor3
5.27,20.90,0.36,134,Sensor1
-8.90,23.50,-0.01,135,Sensor2
-6.88,10.74,0.03,136,Sensor1
14.36,-4.71,0.55,137,Sensor2
16.09,3.61,0.34,138,Sensor2
-0.69,20.52,-0.74,139,Sensor3
23.70,10.03,-0.81,140,Sensor2
-6.47,12.09,0.38,141,Sensor2
-1.75,-3.78,-0.18,142,Sensor3
7.60,-1.02,-0.34,143,Sensor2
-9.78,17.13,-0.09,144,Sensor1
-4.54,-3.82,0.43,145,Sensor3
-9.18,9.23,0.96,146,Sensor2
-6.73,11.59,0.11,147,Sensor2
-2.52,-1.18,-0.94,148,Sensor1
27.85,7.52,0.85,149,Sensor3
7.90,18.50,-0.76,150,Sensor1
13.09,-3.84,-0.54,151,Sensor1
5.43,-1.16,-0.92,152,Sensor2
-4.06,21.93,0.10,153,Sensor1
7.68,18.06,0.78,154,Sensor1
24.54,7.91,-0.99,155,Sensor2
17.85,10.28,0.19,156,Sensor2
16.52,-3.70,-0.52,157,Sensor3
4.06,6.86,0.06,158,Sensor1
20.84,14.10,-0.80,159,Sensor3
13.91,5.54,0.82,160,Sensor2
28.09,13.80,-0.35,161,Sensor1
15.86,16.55,0.22,162,Sensor2
-7.72,0.72,-0.09,163,Sensor2
1.33,21.97,-0.53,164,Sensor1
2.36,8.68,-0.78,165,Sensor3
